lambda_0.16,lambda_0.17,lambda_0.18,lambda_0.19,lambda_0.2,lambda_0.21,lambda_0.22,lambda_0.23,lambda_0.24,lambda_0.25
102.26,169.76,240.44,313.45,394.37,474.71,545.9,625.59,707.21,788.2
102.2,169.78,240.43,313.52,394.42,474.67,546.1,625.74,707.16,788.28
102.18,169.82,240.52,313.55,394.48,474.71,546.12,625.74,707.23,788.43
102.33,169.86,240.42,313.61,394.58,474.75,546.17,625.86,707.14,788.53
102.25,169.89,240.44,313.5,394.61,474.84,546.25,625.9,707.22,788.61
102.31,169.97,240.47,313.48,394.72,474.84,546.31,626.06,707.36,788.79
102.36,170.1,240.52,313.42,394.74,474.93,546.42,626.11,707.43,788.89
102.23,170.15,240.55,313.5,394.7,475.04,546.36,626.18,707.54,788.9
102.19,170.15,240.59,313.52,394.81,475.14,546.51,626.36,707.5,789.03
102.29,170.1,240.67,313.7,394.79,475.23,546.53,626.46,707.66,789.05
102.32,170.07,240.74,313.73,394.83,475.29,546.57,626.58,707.67,789.1
102.38,170.08,240.71,313.7,394.93,475.41,546.59,626.75,707.75,789.15
102.39,170.15,240.71,313.72,395.07,475.46,546.63,626.78,707.81,789.13
102.32,170.17,240.6,313.81,395.13,475.54,546.64,626.82,707.97,789.23
102.33,170.21,240.61,313.92,395.25,475.6,546.76,626.83,708.05,789.34
102.36,170.21,240.58,313.94,395.22,475.6,546.85,626.91,708.2,789.44
102.41,170.32,240.61,314.06,395.31,475.69,546.83,626.98,708.38,789.57
102.4,170.34,240.59,314.18,395.38,475.7,546.87,627.16,708.45,789.78
102.34,170.35,240.64,314.29,395.48,475.88,546.92,627.32,708.48,789.91
102.31,170.29,240.69,314.23,395.6,475.97,546.91,627.4,708.6,790.04
102.32,170.23,240.69,314.28,395.65,475.97,546.84,627.48,708.74,790.15
102.32,170.2,240.7,314.31,395.71,476.05,546.79,627.55,708.89,790.21
102.34,170.21,240.77,314.56,395.69,476.16,546.91,627.69,708.93,790.37
102.45,170.31,240.77,314.69,395.76,476.2,546.94,627.78,709.06,790.54
102.49,170.38,240.78,314.77,395.92,476.25,546.94,627.93,709.1,790.65
102.51,170.39,240.86,314.81,395.94,476.28,547.09,628.04,709.18,790.79
102.62,170.33,240.96,314.84,396.04,476.3,547.08,628.3,709.26,790.85
102.6,170.38,241.0,314.8,396.12,476.32,547.2,628.28,709.41,790.93
102.62,170.33,241.09,314.85,396.22,476.4,547.18,628.35,709.57,791.07
102.61,170.36,241.07,314.89,396.3,476.45,547.27,628.45,709.7,791.26
102.61,170.35,241.11,314.93,396.47,476.57,547.32,628.59,709.8,791.42
102.61,170.31,241.13,314.99,396.59,476.6,547.43,628.65,709.86,791.68
102.54,170.28,241.14,314.98,396.61,476.61,547.53,628.7,709.87,791.81
102.6,170.32,241.25,315.0,396.73,476.65,547.49,628.82,709.92,791.84
102.63,170.35,241.26,315.06,396.8,476.73,547.62,628.85,709.95,791.96
102.6,170.27,241.21,315.08,396.77,476.81,547.73,628.84,709.91,792.12
102.51,170.36,241.34,315.29,396.79,476.87,547.83,628.96,709.99,792.18
102.57,170.38,241.47,315.34,396.84,476.99,547.96,629.01,710.06,792.2
102.61,170.37,241.55,315.4,396.83,477.08,548.01,629.01,710.17,792.32
102.65,170.35,241.57,315.49,396.85,477.11,548.05,628.93,710.28,792.47
102.71,170.41,241.67,315.46,396.85,477.11,548.02,628.98,710.43,792.56
102.72,170.39,241.75,315.48,397.04,477.2,548.11,629.13,710.55,792.7
102.83,170.47,241.77,315.56,397.06,477.24,548.22,629.13,710.53,792.84
102.77,170.51,241.74,315.57,397.17,477.34,548.31,629.09,710.59,792.95
102.82,170.52,241.8,315.62,397.31,477.49,548.41,629.2,710.7,793.07
102.8,170.57,241.84,315.65,397.47,477.47,548.59,629.2,710.74,793.22
102.78,170.59,241.93,315.69,397.51,477.52,548.62,629.22,710.78,793.38
102.77,170.69,241.96,315.63,397.6,477.64,548.75,629.26,710.86,793.51
102.79,170.7,241.95,315.65,397.53,477.68,548.85,629.23,710.91,793.66
102.72,170.73,241.93,315.63,397.37,477.61,548.9,629.39,710.9,793.71
102.73,170.72,241.95,315.65,397.53,477.59,549.12,629.48,710.85,793.83
102.73,170.73,241.94,315.72,397.62,477.64,549.18,629.47,710.91,793.99
102.74,170.67,242.15,315.68,397.59,477.78,549.27,629.5,711.03,794.05
102.77,170.72,242.23,315.68,397.64,477.8,549.3,629.58,711.17,794.14
102.73,170.78,242.17,315.64,397.66,477.89,549.37,629.62,711.29,794.22
102.74,170.81,242.2,315.66,397.68,477.96,549.37,629.66,711.29,794.38
102.76,170.72,242.17,315.7,397.74,477.94,549.39,629.75,711.37,794.41
102.7,170.75,242.15,315.83,397.86,478.0,549.59,629.83,711.39,794.52
102.59,170.74,242.14,315.8,397.99,478.12,549.75,629.86,711.51,794.55
102.64,170.73,242.18,315.86,397.95,478.23,549.82,629.9,711.57,794.61
102.5,170.72,242.21,315.85,398.0,478.28,549.89,629.95,711.71,794.71
102.45,170.68,242.23,315.89,398.03,478.36,549.95,629.95,711.8,794.87
102.45,170.61,242.26,315.93,398.12,478.48,550.02,630.17,711.93,794.97
102.36,170.71,242.25,315.88,398.22,478.57,550.11,630.34,711.95,795.03
102.45,170.7,242.1,315.9,398.34,478.7,550.18,630.5,712.02,795.01
102.47,170.86,242.09,316.0,398.34,478.76,550.36,630.6,712.08,795.19
102.44,170.96,242.14,316.14,398.35,478.91,550.45,630.7,712.21,795.27
102.49,170.87,242.27,316.26,398.35,479.02,550.49,630.65,712.29,795.33
102.55,170.9,242.28,316.32,398.36,479.12,550.5,630.74,712.33,795.43
102.68,170.9,242.35,316.36,398.36,479.17,550.62,630.88,712.48,795.46
102.6,170.97,242.39,316.46,398.46,479.09,550.71,631.04,712.49,795.62
102.61,171.03,242.35,316.49,398.53,479.08,550.79,631.27,712.59,795.7
102.59,171.09,242.41,316.53,398.56,479.15,550.91,631.31,712.62,795.79
102.49,171.11,242.34,316.49,398.53,479.3,550.98,631.34,712.73,795.88
102.42,171.13,242.41,316.5,398.56,479.48,551.09,631.53,712.81,796.02
102.4,171.12,242.45,316.68,398.66,479.48,551.18,631.58,712.81,796.17
102.4,171.04,242.57,316.7,398.71,479.45,551.27,631.7,712.83,796.35
102.46,171.06,242.63,316.74,398.62,479.4,551.38,631.75,712.98,796.38
102.44,171.1,242.7,316.87,398.63,479.39,551.48,631.75,713.07,796.57
102.51,170.99,242.8,316.89,398.68,479.43,551.49,631.88,713.13,796.78
102.53,171.03,242.77,316.94,398.77,479.57,551.56,632.0,713.24,796.9
102.58,171.09,242.83,317.14,398.79,479.65,551.59,632.08,713.34,796.99
102.53,171.13,242.93,317.14,398.81,479.66,551.65,632.11,713.34,797.12
102.59,171.12,242.94,317.25,398.9,479.67,551.7,632.1,713.38,797.22
102.59,171.16,243.0,317.25,398.98,479.81,551.77,632.17,713.34,797.36
102.58,171.24,243.1,317.32,399.06,479.95,551.78,632.23,713.36,797.44
102.6,171.29,243.16,317.38,399.11,480.06,551.78,632.22,713.44,797.5
102.61,171.28,243.15,317.42,399.11,480.15,551.86,632.38,713.62,797.54
102.64,171.34,243.17,317.51,399.07,480.22,551.94,632.49,713.7,797.65
102.67,171.43,243.16,317.59,399.22,480.19,552.03,632.59,713.84,797.73
102.72,171.37,243.16,317.58,399.32,480.35,552.01,632.73,714.0,797.88
102.78,171.42,243.2,317.61,399.46,480.41,552.02,632.88,714.07,797.97
102.78,171.51,243.2,317.66,399.49,480.55,552.11,633.02,714.21,798.1
102.79,171.53,243.29,317.69,399.55,480.66,552.21,633.24,714.33,798.22
102.79,171.45,243.32,317.68,399.69,480.72,552.21,633.34,714.41,798.35
102.82,171.5,243.27,317.67,399.79,480.76,552.26,633.41,714.65,798.47
102.86,171.5,243.28,317.67,399.9,480.79,552.32,633.45,714.88,798.52
102.87,171.48,243.34,317.72,399.93,480.84,552.35,633.42,714.94,798.62
102.82,171.51,243.29,317.77,399.96,480.92,552.46,633.52,715.15,798.77
102.85,171.52,243.31,317.72,399.97,480.99,552.42,633.61,715.31,798.87
102.87,171.53,243.39,317.76,399.99,481.0,552.52,633.63,715.35,798.92
102.94,171.67,243.44,317.84,400.09,481.1,552.6,633.75,715.53,799.0
102.88,171.61,243.42,317.85,400.13,481.3,552.63,633.82,715.65,799.21
102.93,171.53,243.38,317.91,400.19,481.36,552.74,633.89,715.75,799.3
102.89,171.49,243.53,317.95,400.19,481.38,552.79,633.9,715.84,799.34
102.92,171.46,243.68,317.92,400.23,481.37,552.78,633.95,715.93,799.41
102.96,171.54,243.67,317.99,400.28,481.39,552.9,633.96,715.98,799.52
103.11,171.54,243.63,318.02,400.3,481.43,553.03,634.08,715.98,799.73
103.15,171.66,243.66,318.14,400.35,481.53,553.04,634.13,716.07,799.85
103.19,171.65,243.76,318.18,400.32,481.69,553.16,634.16,716.16,799.92
103.19,171.65,243.77,318.22,400.39,481.79,553.03,634.16,716.24,800.05
103.23,171.67,243.82,318.24,400.38,481.9,553.09,634.19,716.45,800.09
103.21,171.78,243.88,318.27,400.54,482.04,553.16,634.22,716.42,800.12
103.19,171.88,243.88,318.28,400.66,482.13,553.23,634.18,716.5,800.13
103.2,171.85,243.93,318.32,400.69,482.21,553.28,634.27,716.56,800.19
103.17,171.81,244.02,318.48,400.68,482.22,553.38,634.35,716.65,800.22
103.13,171.83,244.08,318.53,400.74,482.3,553.51,634.56,716.79,800.35
103.16,171.84,244.04,318.54,400.73,482.29,553.65,634.58,716.84,800.42
103.22,171.85,244.09,318.52,400.69,482.33,553.69,634.61,717.02,800.51
103.21,171.9,244.12,318.67,400.78,482.41,553.8,634.7,717.12,800.6
103.23,171.88,244.12,318.73,400.96,482.55,553.82,634.7,717.19,800.61
103.16,171.86,244.11,318.8,401.03,482.71,553.99,634.76,717.23,800.64
103.23,171.82,244.2,318.83,401.08,482.81,554.1,634.73,717.34,800.81
103.19,171.85,244.22,318.87,401.11,482.85,554.14,634.79,717.39,800.91
103.26,171.85,244.27,318.96,401.12,482.85,554.29,634.91,717.43,801.01
103.18,172.03,244.31,318.97,401.19,482.93,554.47,635.05,717.58,801.07
103.17,172.01,244.35,319.04,401.27,483.05,554.47,635.1,717.48,801.11
103.07,171.99,244.32,319.16,401.2,483.05,554.45,635.16,717.53,801.19
103.13,172.07,244.31,319.15,401.23,483.0,554.54,635.27,717.7,801.35
103.22,172.14,244.39,319.23,401.18,483.03,554.66,635.32,717.75,801.4
103.34,172.21,244.37,319.27,401.23,483.09,554.7,635.42,717.8,801.58
103.32,172.25,244.34,319.26,401.26,483.07,554.7,635.65,717.84,801.68
103.41,172.16,244.46,319.27,401.27,483.1,554.81,635.79,717.81,801.78
103.4,172.22,244.46,319.34,401.42,483.18,554.87,635.81,717.94,801.86
103.44,172.19,244.53,319.45,401.5,483.26,554.98,635.9,718.04,801.96
103.46,172.28,244.59,319.56,401.61,483.31,555.12,636.03,718.07,802.04
103.48,172.31,244.68,319.46,401.65,483.33,555.28,635.99,718.22,802.1
103.42,172.39,244.6,319.5,401.58,483.34,555.32,636.23,718.35,802.16
103.46,172.46,244.51,319.46,401.59,483.33,555.41,636.29,718.44,802.28
103.45,172.5,244.51,319.5,401.59,483.46,555.5,636.39,718.45,802.4
103.43,172.5,244.44,319.69,401.7,483.55,555.68,636.67,718.55,802.4
103.48,172.45,244.38,319.74,401.69,483.55,555.74,636.73,718.71,802.5
103.49,172.4,244.34,319.81,401.75,483.64,555.86,636.88,718.93,802.61
103.48,172.49,244.16,319.86,401.85,483.68,555.92,637.01,719.01,802.66
103.54,172.54,244.27,319.91,401.79,483.71,556.03,637.08,719.11,802.69
103.57,172.56,244.32,319.93,401.76,483.78,556.18,637.17,719.17,802.8
103.59,172.5,244.43,319.97,401.7,483.9,556.15,637.21,719.24,802.92
103.67,172.55,244.47,319.94,401.57,484.01,556.23,637.37,719.23,803.03
103.66,172.61,244.36,319.91,401.55,484.11,556.24,637.44,719.43,803.1
103.73,172.66,244.36,319.9,401.67,484.27,556.38,637.49,719.56,803.15
103.77,172.7,244.49,319.87,401.76,484.32,556.41,637.61,719.72,803.19
103.73,172.77,244.59,319.85,401.85,484.39,556.51,637.7,719.86,803.29
103.7,172.82,244.75,319.92,402.01,484.35,556.47,637.81,719.96,803.42
103.74,172.82,244.74,319.82,401.98,484.43,556.51,637.84,720.03,803.5
103.8,172.94,244.78,319.91,401.98,484.48,556.62,637.92,720.15,803.58
103.86,172.93,244.79,319.84,402.06,484.43,556.68,637.97,720.21,803.55
103.97,173.0,244.82,319.93,402.16,484.51,556.73,638.13,720.32,803.71
104.01,173.04,244.96,319.94,402.11,484.56,556.76,638.18,720.39,803.87
103.88,173.05,245.03,319.99,402.19,484.68,556.88,638.21,720.58,803.97
103.95,173.07,245.04,319.91,402.22,484.74,556.85,638.33,720.71,804.14
103.95,173.09,245.12,320.01,402.34,484.69,557.0,638.46,720.87,804.25
103.88,173.05,245.12,320.09,402.38,484.65,557.08,638.44,720.9,804.3
103.95,173.08,245.09,320.06,402.41,484.71,557.09,638.58,721.02,804.47
103.96,173.04,245.08,320.08,402.38,484.81,557.02,638.65,721.15,804.55
103.96,173.04,245.04,320.01,402.43,484.89,557.1,638.8,721.18,804.68
103.83,173.01,245.01,320.13,402.5,484.97,557.16,638.94,721.28,804.77
103.87,173.06,245.05,320.09,402.56,484.99,557.28,639.12,721.41,804.84
103.85,173.11,245.1,320.22,402.56,485.02,557.27,639.2,721.51,804.97
103.98,173.1,245.15,320.37,402.59,485.03,557.36,639.25,721.57,804.95
104.03,173.19,245.17,320.46,402.55,485.17,557.47,639.24,721.7,805.13
104.01,173.3,245.22,320.58,402.63,485.28,557.53,639.4,721.81,805.32
104.03,173.28,245.15,320.72,402.69,485.25,557.65,639.39,721.82,805.5
103.98,173.19,245.29,320.79,402.77,485.33,557.7,639.52,721.96,805.62
103.99,173.2,245.29,320.67,402.95,485.34,557.76,639.53,722.09,805.7
104.02,173.3,245.21,320.73,402.99,485.41,557.97,639.58,722.17,805.8
103.98,173.36,245.14,320.73,403.09,485.5,558.08,639.7,722.27,805.83
103.92,173.45,245.15,320.72,403.19,485.55,558.11,639.82,722.34,805.88
104.01,173.53,245.28,320.91,403.22,485.65,558.21,639.94,722.36,805.9
104.02,173.5,245.25,321.04,403.26,485.81,558.22,639.92,722.29,806.04
104.09,173.46,245.29,321.1,403.27,485.96,558.22,639.97,722.36,806.21
104.1,173.49,245.3,321.22,403.38,486.01,558.32,640.09,722.63,806.34
104.24,173.53,245.47,321.21,403.43,486.05,558.31,640.24,722.79,806.38
104.19,173.53,245.5,321.14,403.51,486.09,558.28,640.27,722.91,806.45
104.18,173.59,245.55,321.15,403.62,486.14,558.4,640.29,723.04,806.6
104.18,173.67,245.58,321.25,403.68,486.17,558.52,640.36,723.09,806.63
104.24,173.66,245.68,321.27,403.6,486.25,558.65,640.4,723.24,806.75
104.28,173.59,245.69,321.31,403.64,486.34,558.72,640.43,723.34,806.89
104.28,173.6,245.73,321.4,403.84,486.4,558.87,640.42,723.3,806.99
104.29,173.64,245.84,321.45,403.95,486.49,558.84,640.42,723.39,807.0
104.46,173.65,245.81,321.48,404.01,486.48,559.0,640.54,723.47,807.06
104.44,173.67,245.99,321.45,404.13,486.6,559.08,640.55,723.57,807.21
104.45,173.73,245.97,321.47,404.18,486.57,559.11,640.64,723.66,807.27
104.49,173.75,245.99,321.52,404.22,486.66,559.29,640.64,723.67,807.33
104.58,173.78,246.01,321.56,404.34,486.74,559.29,640.8,723.74,807.36
104.63,173.74,245.96,321.62,404.35,486.92,559.38,640.89,723.87,807.54
104.61,173.82,246.08,321.62,404.4,486.95,559.5,640.97,723.9,807.56
104.58,173.87,246.12,321.58,404.48,486.88,559.56,640.99,723.95,807.62
104.57,173.89,246.16,321.61,404.57,486.86,559.59,641.02,724.02,807.77
104.6,173.81,246.14,321.62,404.55,486.88,559.7,641.13,724.04,807.77
104.56,173.84,246.16,321.8,404.64,487.02,559.71,641.16,724.08,807.93
104.56,173.84,246.15,321.83,404.69,487.07,559.74,641.19,724.13,808.07
104.55,173.83,246.23,321.96,404.77,487.12,559.78,641.19,724.2,808.22
104.61,173.74,246.26,321.99,404.83,487.13,559.91,641.34,724.23,808.42
104.73,173.74,246.17,322.02,404.91,487.27,560.01,641.48,724.24,808.5
104.77,173.74,246.2,322.19,404.95,487.21,560.2,641.64,724.34,808.52
104.79,173.83,246.27,322.26,405.02,487.25,560.28,641.64,724.51,808.63
104.73,173.87,246.4,322.28,404.97,487.34,560.3,641.65,724.51,808.71
104.71,173.94,246.47,322.3,404.92,487.45,560.29,641.76,724.69,808.83
104.72,174.06,246.45,322.38,405.01,487.58,560.39,641.82,724.74,808.93
104.72,174.16,246.45,322.53,404.99,487.67,560.56,641.95,724.75,808.96
104.67,174.2,246.43,322.59,404.96,487.69,560.61,642.07,724.88,809.03
104.62,174.25,246.48,322.62,405.06,487.66,560.58,642.2,725.08,809.14
104.59,174.32,246.37,322.68,405.15,487.81,560.56,642.23,725.12,809.14
104.68,174.39,246.46,322.73,405.22,487.9,560.6,642.15,725.22,809.32
104.7,174.34,246.43,322.75,405.33,487.86,560.72,642.19,725.16,809.45
104.67,174.36,246.48,322.85,405.38,487.85,560.84,642.13,725.29,809.55
104.65,174.36,246.52,322.95,405.4,487.79,560.92,642.27,725.34,809.69
104.67,174.39,246.56,322.97,405.43,487.85,561.01,642.33,725.41,809.63
104.65,174.35,246.62,323.03,405.48,487.82,561.15,642.32,725.54,809.75
104.63,174.39,246.66,323.07,405.49,488.01,561.12,642.37,725.6,809.8
104.63,174.64,246.59,323.18,405.55,488.1,561.21,642.38,725.66,809.89
104.6,174.62,246.65,323.3,405.59,488.28,561.31,642.51,725.73,810.02
104.6,174.62,246.71,323.23,405.58,488.29,561.4,642.64,725.74,810.11
104.6,174.66,246.87,323.2,405.63,488.4,561.45,642.71,725.84,810.23
104.69,174.62,246.84,323.32,405.68,488.51,561.57,642.8,725.87,810.37
104.67,174.68,246.93,323.41,405.73,488.49,561.58,642.85,725.93,810.46
104.71,174.71,247.02,323.43,405.75,488.5,561.65,642.92,726.09,810.56
104.65,174.81,246.98,323.47,405.85,488.67,561.62,642.97,726.21,810.63
104.63,174.82,247.11,323.46,405.93,488.68,561.73,643.08,726.18,810.61
104.67,174.85,247.13,323.4,406.06,488.76,561.81,643.11,726.31,810.81
104.57,174.89,247.18,323.46,406.16,488.79,561.88,643.22,726.4,810.95
104.54,174.91,247.21,323.55,406.14,488.89,561.86,643.35,726.48,811.1
104.52,175.07,247.24,323.5,406.19,488.97,561.99,643.42,726.62,811.32
104.45,174.98,247.28,323.56,406.27,489.02,562.12,643.51,726.81,811.39
104.39,174.97,247.19,323.62,406.34,489.02,562.23,643.6,726.81,811.47
104.44,175.01,247.27,323.58,406.32,489.04,562.36,643.72,726.98,811.57
104.36,175.09,247.43,323.58,406.37,489.12,562.43,643.87,727.02,811.58
104.32,175.21,247.53,323.54,406.5,489.11,562.44,643.87,727.16,811.54
104.27,175.24,247.49,323.58,406.51,489.06,562.5,644.01,727.19,811.76
104.12,175.25,247.53,323.64,406.54,489.15,562.65,644.1,727.14,811.88
104.23,175.32,247.55,323.65,406.62,489.2,562.75,644.1,727.3,811.94
104.17,175.29,247.62,323.63,406.8,489.24,562.77,644.19,727.49,812.07
104.07,175.44,247.77,323.62,406.81,489.29,562.84,644.23,727.48,812.09
104.05,175.49,247.79,323.68,406.82,489.29,562.94,644.26,727.64,812.16
104.11,175.58,247.82,323.58,406.93,489.35,563.04,644.15,727.77,812.32
104.13,175.74,247.87,323.61,407.0,489.35,563.19,644.26,727.73,812.41
104.16,175.71,247.94,323.65,407.03,489.38,563.18,644.41,727.81,812.4
104.24,175.77,248.03,323.65,407.01,489.35,563.3,644.57,727.94,812.47
104.21,175.82,248.06,323.72,407.01,489.39,563.34,644.64,728.06,812.62
104.23,175.8,248.13,323.77,407.09,489.44,563.47,644.62,728.07,812.73
104.2,175.74,248.14,323.78,407.16,489.55,563.57,644.8,728.17,812.86
104.27,175.73,248.2,323.82,407.27,489.64,563.71,644.9,728.22,813.0
104.27,175.74,248.25,323.76,407.29,489.71,563.7,644.95,728.35,813.1
104.21,175.78,248.35,323.87,407.33,489.8,563.84,645.01,728.37,813.13
104.13,175.78,248.39,323.97,407.41,490.03,563.82,645.11,728.41,813.2
104.11,175.78,248.4,324.03,407.42,490.18,563.85,645.14,728.38,813.28
104.02,175.91,248.45,324.06,407.41,490.36,563.88,645.19,728.46,813.33
104.06,176.0,248.48,324.04,407.44,490.49,563.96,645.14,728.49,813.49
104.01,175.95,248.43,324.13,407.59,490.49,563.97,645.24,728.58,813.6
104.0,175.98,248.47,324.16,407.64,490.53,564.08,645.33,728.67,813.66
104.03,176.03,248.47,324.29,407.69,490.45,564.19,645.43,728.81,813.81
104.01,176.08,248.48,324.24,407.77,490.49,564.22,645.56,728.81,813.9
104.03,176.08,248.47,324.32,407.9,490.54,564.27,645.69,728.98,814.0
104.03,176.07,248.55,324.34,407.89,490.59,564.22,645.78,729.25,814.04
104.15,176.06,248.66,324.43,407.98,490.68,564.22,645.78,729.29,814.12
104.1,176.08,248.65,324.42,407.97,490.73,564.25,645.92,729.4,814.16
104.16,176.11,248.64,324.4,408.12,490.85,564.36,645.9,729.5,814.32
104.15,176.07,248.64,324.43,408.18,490.92,564.43,645.98,729.5,814.47
104.22,176.01,248.63,324.44,408.25,491.05,564.5,646.07,729.63,814.59
104.22,175.99,248.71,324.57,408.31,491.12,564.59,646.11,729.75,814.72
104.18,176.03,248.66,324.54,408.3,491.3,564.66,646.3,729.82,814.82
104.21,176.04,248.77,324.52,408.42,491.35,564.75,646.32,729.96,814.85
104.18,176.08,248.85,324.52,408.44,491.46,564.87,646.41,730.05,815.03
104.12,176.14,248.91,324.5,408.54,491.56,564.93,646.55,730.16,815.03
104.09,176.09,248.87,324.54,408.53,491.54,564.95,646.59,730.19,815.06
104.14,176.23,248.91,324.58,408.6,491.47,564.99,646.74,730.34,815.24
104.1,176.17,248.95,324.63,408.64,491.5,564.98,646.88,730.49,815.25
104.02,176.24,249.02,324.6,408.75,491.55,565.0,646.9,730.56,815.28
104.06,176.31,249.08,324.59,408.87,491.6,565.13,647.04,730.64,815.26
104.01,176.27,249.17,324.63,409.03,491.63,565.13,647.12,730.74,815.34
104.1,176.3,249.15,324.64,409.03,491.76,565.05,647.2,730.78,815.42
103.98,176.35,249.18,324.75,409.15,491.87,565.23,647.19,730.76,815.46
104.01,176.43,249.21,324.78,409.26,491.86,565.36,647.24,730.82,815.57
103.88,176.43,249.28,324.73,409.44,491.88,565.44,647.31,730.86,815.59
103.91,176.44,249.4,324.61,409.56,491.95,565.61,647.47,730.91,815.67
104.06,176.46,249.36,324.65,409.54,492.02,565.74,647.52,730.91,815.72
104.12,176.4,249.36,324.8,409.55,492.06,565.84,647.66,731.04,815.72
104.09,176.52,249.48,324.84,409.54,492.17,565.93,647.7,731.19,815.8
104.14,176.55,249.57,324.89,409.57,492.37,566.01,647.77,731.26,815.86
104.17,176.54,249.6,325.0,409.61,492.43,566.1,647.79,731.36,816.02
104.19,176.52,249.63,325.11,409.68,492.48,566.13,647.82,731.42,816.06
104.28,176.51,249.58,325.19,409.85,492.47,566.3,647.94,731.57,816.23
104.31,176.52,249.69,325.29,409.84,492.55,566.23,648.1,731.73,816.32
104.32,176.52,249.67,325.4,409.88,492.51,566.23,648.06,731.79,816.52
104.28,176.47,249.75,325.42,410.02,492.57,566.33,648.12,731.92,816.65
104.38,176.51,249.73,325.46,410.1,492.56,566.37,648.17,732.01,816.7
104.49,176.52,249.79,325.41,410.19,492.66,566.54,648.31,732.08,816.76
104.51,176.53,249.86,325.51,410.2,492.7,566.63,648.48,732.1,816.89
104.49,176.55,249.95,325.5,410.22,492.69,566.77,648.61,732.18,817.01
104.51,176.57,249.95,325.62,410.36,492.64,566.75,648.62,732.28,817.12
104.47,176.53,250.04,325.63,410.42,492.75,566.83,648.83,732.34,817.17
104.49,176.53,249.99,325.83,410.39,492.86,566.97,648.93,732.4,817.3
104.4,176.49,250.01,325.84,410.48,492.91,567.0,649.1,732.5,817.36
104.33,176.57,250.05,325.81,410.57,492.86,567.09,649.14,732.56,817.41
104.33,176.65,250.1,325.81,410.64,492.93,567.21,649.35,732.56,817.47
104.3,176.61,250.18,325.9,410.66,492.98,567.35,649.41,732.71,817.54
104.39,176.66,250.19,325.96,410.72,493.01,567.27,649.48,732.82,817.71
104.39,176.64,250.14,326.0,410.79,493.05,567.27,649.55,732.87,817.83
104.41,176.65,250.19,326.1,410.9,493.09,567.32,649.66,732.91,817.91
104.43,176.64,250.16,326.13,410.94,493.29,567.34,649.65,733.09,817.96
104.4,176.76,250.13,326.19,410.86,493.36,567.38,649.59,733.19,818.04
104.46,176.81,250.29,326.12,410.97,493.5,567.46,649.71,733.28,818.02
104.48,176.77,250.29,326.16,411.06,493.43,567.63,649.85,733.41,818.11
104.57,176.86,250.34,326.22,411.14,493.58,567.67,649.93,733.5,818.17
104.6,176.87,250.59,326.16,411.2,493.69,567.8,650.02,733.56,818.21
104.68,176.81,250.7,326.09,411.23,493.75,567.94,650.08,733.7,818.23
104.71,176.87,250.65,326.13,411.27,493.7,568.01,650.21,733.75,818.44
104.73,176.98,250.61,326.19,411.27,493.9,568.02,650.26,733.91,818.44
104.68,177.09,250.72,326.16,411.36,494.01,568.02,650.37,733.93,818.49
104.72,177.16,250.65,326.19,411.43,494.16,567.96,650.47,733.86,818.58
104.76,177.12,250.64,326.33,411.41,494.2,568.11,650.53,733.88,818.76
104.82,177.22,250.72,326.34,411.47,494.22,568.33,650.49,733.88,818.8
104.92,177.19,250.73,326.37,411.48,494.3,568.44,650.63,733.9,818.88
104.92,177.18,250.74,326.43,411.48,494.32,568.57,650.71,733.99,818.86
104.88,177.2,250.79,326.51,411.61,494.41,568.61,650.91,733.99,818.99
104.84,177.24,250.83,326.54,411.67,494.48,568.72,650.96,734.06,819.17
104.87,177.32,250.92,326.64,411.76,494.61,568.76,651.02,733.96,819.31
104.87,177.39,250.95,326.56,411.84,494.66,568.88,651.14,734.11,819.3
104.88,177.39,250.96,326.68,411.78,494.7,568.84,651.23,734.23,819.35
104.87,177.47,250.84,326.69,411.86,494.75,568.82,651.33,734.36,819.45
104.81,177.65,250.87,326.77,411.88,494.79,568.84,651.39,734.52,819.46
104.75,177.63,250.81,326.87,411.89,494.9,568.83,651.47,734.6,819.65
104.8,177.67,250.76,326.87,411.99,494.92,568.91,651.56,734.69,819.76
104.87,177.62,250.76,326.92,412.03,495.06,569.07,651.63,734.7,819.79
104.73,177.71,250.76,327.04,412.0,495.14,569.18,651.67,734.8,819.82
104.64,177.79,250.84,327.15,412.08,495.16,569.32,651.64,734.88,819.87
104.71,177.76,250.87,327.29,412.16,495.15,569.39,651.69,734.98,820.0
104.68,177.72,251.02,327.43,412.14,495.15,569.47,651.78,734.98,820.06
104.69,177.67,251.05,327.56,412.23,495.21,569.58,651.85,735.09,820.16
104.63,177.75,251.09,327.58,412.32,495.3,569.71,651.97,735.19,820.31
104.61,177.7,251.07,327.6,412.28,495.3,569.83,652.04,735.3,820.52
104.69,177.71,251.1,327.58,412.36,495.39,569.95,652.21,735.32,820.64
104.78,177.73,251.25,327.56,412.34,495.45,570.03,652.29,735.53,820.75
104.82,177.66,251.19,327.52,412.44,495.52,570.14,652.39,735.6,820.82
104.8,177.66,251.27,327.59,412.42,495.54,570.21,652.43,735.83,820.89
104.78,177.66,251.32,327.68,412.47,495.76,570.31,652.46,735.87,821.08
104.76,177.7,251.38,327.64,412.5,495.78,570.41,652.47,736.12,821.15
104.74,177.63,251.37,327.61,412.59,495.84,570.47,652.6,736.24,821.31
